Company Name,Website,Location,LinkedIn,Name
Vector,https://vector.co,Boston,https://www.linkedin.com/company/getvector,Joshua Perk
Pier,http://www.pier-finance.com,San Francisco,https://www.linkedin.com/company/pier-finance/,Head of Compliance
AiFlow,https://aiflow.solutions,San Francisco,https://www.linkedin.com/company/aiflow-inc,Nicholas Manske
highlight.io,https://www.highlight.io/,"Irvine, CA",https://www.linkedin.com/company/highlightrun,Jay Khatri
Luca,https://www.askluca.com/,San Francisco,https://www.linkedin.com/company/lucasoftware/,Tanvi Surti
Drift Bio,https://driftbio.com,San Francisco,https://www.linkedin.com/company/drift-bio,Evan Zimmerman
Fabius,https://fabius.io,San Francisco,https://www.linkedin.com/company/fabius-technologies/,Neil Madsen
Vocode,https://vocode.dev,San Francisco,https://www.linkedin.com/company/vocode-dev/about/,Vocode
Vellum,https://www.vellum.ai/,,https://www.linkedin.com/company/vellumai/,Vellum
BabylonAI,https://babylonai.dev,"Zürich, Switzerland",https://www.linkedin.com/company/babylonai/,Rangel Milushev
Berry,https://berryapp.io/yc,San Francisco,https://www.linkedin.com/company/berryhq/,Yan Fu
Conduit,http://helloconduit.com,San Francisco,https://www.linkedin.com/company/getconduit/,Conduit
Codeparrot,https://www.codeparrot.ai/,"Bengaluru, India",https://www.linkedin.com/company/codeparrotai,Royal Jain
SuperAPI,https://trysuperapi.com,"Chennai, India",https://www.linkedin.com/in/adithya-kavuluru/,Adithya Kavuluru
Fern,https://www.buildwithfern.com,New York,https://www.linkedin.com/company/88002225,Fern
Unstatiq,https://,San Francisco,https://www.linkedin.com/in/sachinjaishankar,Sachin Jaishankar
Resend,https://resend.com,San Francisco,https://linkedin.com/company/resend,Zeno Rocha
Common Paper,https://commonpaper.com/,"Philadelphia, PA",https://www.linkedin.com/company/common-paper,Benjamin Garvey
Dill,https://usedill.com/,,https://www.linkedin.com/in/catherinehuijiang,Dill
DealPage,https://www.dealpage.ai/,New York,https://www.linkedin.com/company/dealpageai/,Ani Gottiparthy
